id,title,description,url,rating,total_reviews
0,Legal Track,"Legal Track is used by in-house counsel and is designed specifically for the ever changing needs of the corporate legal department. Our system allow the legal departments to handle Contracts, Litigations (including outside counsel), Non-litigation matters, IP and almost any other type of matters you can think of.      Legal Track is natively embedded into Microsoft Outlook and provides a comprehensive Document Management solution. This way, the software user can track all Outlook emails, Outlook tasks, Appointments. We are fully compatible with Office 365 and Microsoft Exchange.  Legal Track also provides E-billing capability to process Outside Counsel invoices as well as produce reports related to Legal Spend Management.      ",https://www.softwareadvice.com/legal/legal-track-profile,4.73,11.0
1,Legal CM,"Legal CM is a cloud-based, automated case management system.  Designed and developed by an experienced team, and in close cooperation with practicing solicitors, Legal CM is designed to work for you, not against you. Every feature of Legal CM is designed to help streamline your workflow and automate tedious, repetitive tasks.  Legal CM enables clients to be consistently informed, and automatically prompted to complete the tasks that are their responsibility.  Built-in features, such as digital forms, digital signatures, the client portal and mobile apps allow for the quick and efficient exchange of information and documents with clients.  All activity in Legal CM is traced and logged. Legal CM integrates with your mailbox, so messages can be automatically imported and attached to matters. All imported messages and documents are automatically flagged for review by an appropriate member of staff.   Organize your staff into teams. All prompts in Legal CM are broken down by firm, team and individual.  Legal CM will allow you to experience the cost and efficiency savings associated with a fully paperless office.",https://www.softwareadvice.com/legal/legal-cm-profile,5.0,3.0
2,Thread Legal,"Thread Legal is the premier legal Case / File / Matter management for the modern law office built exclusively with Microsoft 365. Inside Thread, we provide all the intelligence and methods for managing the life cycle of a Case / Matter.  The solution comes with ready to use out-of-the-box processes, task automation and reporting. Switch on and automate your complex legal workloads, free up valuable time and generate more value for your business. If there are specific business rules, our native flexibility with custom fields is a perfect way to match those needs.  If you are a small, medium or large organisation, Thread Legal is the only pure 365 SaaS solution that scales automatically with your Microsoft environment. Whether it is one user or thousands of users, everyone can manage all their legal business tasks using the applications they know and love.",https://www.softwareadvice.com/legal/thread-legal-profile,3.56,16.0
3,Legal Files,"For government agencies, corporations, universities and insurance companies, Legal Files legal case & matter management software centrally organizes your contacts, documents, emails, deadlines and other data. Rely on our seamless integration with Microsoft Outlook to save all your file related emails, calendars and tasks in one place. Choose how to deploy the software--on premises or in the Cloud--whichever is best for you.   Legal Files allows users access from anywhere (phones, tablets, desktops and laptops), at any time. The solution provides users the ability to handle an increased workload by automating routine administrative tasks and standardizing day-to-day operations.  Users can capture and track emails (and attachments), scanned images, notes, calendars, tasks, documents, contact information, time, case information, etc. to Legal Files ensuring everyone in an organization has access to the most up-to-date information. Legal Files integrates with other software programs – Outlook, Google Mail, Microsoft Office products – that users regularly use.  Legal Files Software, Inc. offers installation assistance, training and continuing support to its customers.  ",https://www.softwareadvice.com/legal/legal-files-profile,4.61,23.0
4,Legal 365,"Legal 365 is a legal practice management solution that helps law firms streamline processes related to accounting, invoicing, document management, and more. Professionals can utilize the Microsoft Dynamic NAV-based platform to print invoices in PDF formats, add/assign tasks to employees and record the time spent on case matters.      Legal 365 comes with a Microsoft Outlook plugin, which enables law firms to create case documents using built-in or customizable templates. It allows users to sort information based on custom filters, maintain document folders and organize emails using a drag-and-drop interface. Additionally, lawyers can utilize the search functionality to assess specific case files, contacts and matters from Microsoft Outlook.      Legal 365 facilitates integration with various third-party systems including Microsoft Word, Excel, Outlook, Office 365 and SharePoint. Pricing is available on request and support is extended via phone and email.    ",https://www.softwareadvice.com/legal/legal-365-profile,,
5,Legal-X,"Legal-X is a legal billing solution that helps businesses streamline processes related to budgeting, reporting, document management, auditing, and more on a centralized platform. It enables staff members to utilize the case manager tool to track case narratives, handle scheduling, manage receipts, and conduct social collaboration.  Legal-X enables administrators to configure workflows to automatically organize data based on multiple categories, including claim type, rates, timekeeper, approval structure, firm, status, and invoice source. It lets employees assess rates and expenses based on pre-defined parameters.",https://www.softwareadvice.com/legal/legal-x-profile,5.0,1.0
6,Insight Legal,"Insight Legal Software offers a bespoke and intuitive workflow designed for solicitors and law firms based in the UK and Ireland.   From case and practice management to legal accounting, the software helps ensure streamlined processes that are fully compliant with industry regulations and proven to improve efficiency. It can help users manage their and their client’s accounts with a user-friendly cloud-based software.",https://www.softwareadvice.com/legal/insight-legal-profile,,
7,Jarvis Legal,"Jarvis Legal is a legal practice management system designed for small law firms and solo practitioners. The software features include automatic time tracking, document management and reporting, client and case management. The application is web-based and allow users to work in offline mode via JarvisDrive desktop and later on synchronize data with the server after being connected to internet.      Jarvis Legal provides a collaborative document automation system where users can draft documents with fellow co-counsels in real time, leave comments, and view a change-timeline. The solution offers a client portal that allows clients to view and pay bills online, as well as exchange documents with the attorney. The application keeps track of time spent by practioners on each case.      Jarvis Legal provides attorneys with real time reports to assess the productivity of law firm by practice area, case or by participant. The application integrates with Microsoft Outlook, allowing users to synchronize calendars and contacts. The solution provides mobile applications for iOS and Android.    ",https://www.softwareadvice.com/legal/jarvis-legal-profile,4.08,6.0
8,The Legal Assistant,"The Legal Assistant is a cloud-based and on-premise legal management solution available for either cloud-based or on-premise deployment. It is suitable for legal practices of multiple sizes. Different modules are available for specific areas of law, such as personal injury, criminal, family law etc. Files are accessible from a smartphone, tablet, Mac or PC.      The Legal Assistant offers task management functionalities including interoffice messaging and to-do lists. Tasks such as signing and emailing a letter by a certain date can be automated by creating alerts on the calendar. Users can also create alerts to be notified of updates to cases.      The platform automatically accumulates charges and cost for each case and invoices and statements can be generated with one click.      Document management features include prewritten templates for quick letter generation or users can create their own letters. Users can customize documents with letterhead and digital signature support and send them from the platform via email or fax. Pricing is per module per month.    ",https://www.softwareadvice.com/legal/the-legal-assistant-profile,4.5,2.0
9,Legal Suite,"Legal Suite is a provider of practice management solutions. It expands its expertise in corporate legal management, contract cycle management, governance, risk management, and compliance. Legal Suite offers a wide range of modules dedicated to each area of legal activity.  ",https://www.softwareadvice.com/contract-management/legal-suite-profile,4.33,9.0
